Initial data
     i     x_i         y_i
     1     0.83000     0.75000
     2     0.76000     0.78000
     3     0.67000     0.81000
     4     0.51000     0.81000
     5     0.41000     0.74000
     6     0.33000     0.63000
     7     0.27000     0.47000
     8     0.27000     0.30000
     9     0.35000     0.21000
     10     0.47000     0.17000
     11     0.59000     0.15000
     12     0.71000     0.17000
     13     0.83000     0.24000
     14     0.91000     0.35000
     15     0.93000     0.50000
     16     0.92000     0.67000
     17     0.89000     0.74000
     18     0.84000     0.66000
     19     0.82000     0.50000
     20     0.83000     0.41000
     21     0.86000     0.32000
     22     0.89000     0.25000
     23     0.93000     0.18000
     24     0.97000     0.12000
